station_name,station_add,station_lat,station_lng,intersection_id,intersection_lat,intersection_lng,shortest_distance
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,4526565698,40.693721,-73.9834313,8352.788999999999
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,4735727610,40.6922318,-73.9872962,8786.746000000003
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,5009155051,40.694921,-73.9860671,8574.915000000003
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,6933321234,40.6910987,-73.9891992,9102.506000000003
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,6993160951,40.6936085,-73.9842856,8443.592999999999
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,9201526517,40.6961868,-73.9905921,8760.701000000003
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,9664385497,40.69496,-73.9889475,8636.975000000002
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,10001058440,40.6949359,-73.988697,9033.225000000004
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,11381945329,40.695257,-73.9886807,9068.956000000004
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,11381945330,40.6961114,-73.9885861,8532.592000000002
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42464631,40.6920559,-73.9826228,3917.870999999999
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42464823,40.6921704,-73.9891263,3857.297
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42464824,40.6918024,-73.9882134,3790.849000000001
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42464827,40.6914546,-73.9873387,3707.576000000001
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42464832,40.690663,-73.9853532,3882.779000000001
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42464834,40.690561,-73.985105,3906.581000000001
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42464836,40.690292,-73.984433,3970.650000000001
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42464838,40.6901448,-73.9840629,3850.982
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42464844,40.6897015,-73.9829511,3799.553999999999
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42464847,40.689358,-73.982098,3718.1129999999994
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42464848,40.6889411,-73.9810499,3541.490999999999
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42466438,40.6887841,-73.9835721,3629.266
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42469226,40.6932563,-73.9881544,3953.5110000000013
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42469228,40.6922794,-73.9881997,3844.818000000001
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42476732,40.6946198,-73.9906274,4182.096
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42480566,40.693036,-73.984292,4143.064000000001
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42480569,40.6930502,-73.9852301,4063.956000000001
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42480571,40.693088,-73.986226,3979.884000000001
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42481888,40.6950251,-73.9889427,4457.594
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42481889,40.6949665,-73.987162,4098.401000000001
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42491554,40.6959659,-73.9845903,4423.410999999999
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42491582,40.6911662,-73.9821756,4023.7419999999993
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42491585,40.6899297,-73.9815542,3664.033999999999
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42491589,40.688761,-73.980843,3511.9009999999994
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42492210,40.6904673,-73.9878775,3588.297000000001
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42492213,40.6898629,-73.9882859,3512.783000000001
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42492415,40.696123,-73.9888829,4335.405
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42494919,40.6922042,-73.9862727,3909.3060000000005
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42494920,40.6921587,-73.9852776,4141.996999999999
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42494921,40.6921272,-73.9843423,4063.062999999999
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42494924,40.6920899,-73.9833969,3983.2469999999994
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42496432,40.691039,-73.9894028,3730.1030000000005
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42497737,40.6960551,-73.9871076,4219.536000000001
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42502404,40.689222,-73.9846917,3735.484
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42510861,40.6901632,-73.9870995,3662.096000000001
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42515825,40.6903899,-73.9898327,3649.713
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42523094,40.6890086,-73.9861587,3715.7780000000007
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42523684,40.6896291,-73.985733,3791.717000000001
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42523688,40.688451,-73.9827164,3604.5779999999995
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42523691,40.6879371,-73.9813995,3479.7009999999996
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42523903,40.6905587,-73.9826854,4103.808999999999
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42530376,40.6961684,-73.9900623,4316.650999999998
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42530379,40.695061,-73.9901161,4556.601
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,42533974,40.695022,-73.9907543,4228.080999999999
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,278630368,40.692096,-73.9889495,3840.2490000000003
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,278630910,40.6909958,-73.9892384,3715.4330000000004
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,278631323,40.6903367,-73.9896591,3633.9260000000004
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,278632281,40.6925287,-73.9888795,3888.8210000000004
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,278632502,40.6950187,-73.9886923,4166.406000000001
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,278632503,40.6961134,-73.988653,4288.216
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,278634702,40.6925341,-73.9890601,4734.938999999999
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,588036470,40.6910889,-73.986427,3780.6060000000007
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,597844593,40.6929609,-73.9833513,4338.0740000000005
