cartodb_id,bbl,tract_10,sba_name,ccd_name,cd_name,boro_name,city_name,tax_delinquency,ser_violation,assessed_value,owner_name,res_units,year_built,buildings,net_inc_sqft,gross_exp_sqft,standard_address,inc_tar_info,inc_tar_units_0bed,inc_tar_units_1bed,inc_tar_units_2bed,inc_tar_units_3bed,inc_tar_units_4bed,floodplain_flag,applied_filters
9543813,3022517502,36047050700,Bedford Stuyvesant,City Council District 33,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,1133482,UNAVAILABLE OWNER,18,2006,1,,,37 Throop Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9543815,3022517504,36047050700,Bedford Stuyvesant,City Council District 33,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,1526169,UNAVAILABLE OWNER,13,2006,1,,,33 Throop Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9554737,3022617501,36047053700,Williamsburg/Greenpoint,City Council District 33,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,13628355,UNAVAILABLE OWNER,99,2014,1,,,755 Kent Avenue,Information unavailable,,,,,,In 2020s Floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9554756,3022627510,36047053700,Williamsburg/Greenpoint,City Council District 33,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,1,1291502,BEDFORD VILLAS LLC,7,2015,1,,,724 Bedford Ave,Information unavailable,,,,,,In 2020s Floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9503226,3022637505,36047053100,Bedford Stuyvesant,City Council District 33,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,871705,UNAVAILABLE OWNER,14,2006,1,,,463 Flushing Avenue,Information unavailable,,,,,,In 2020s Floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9503227,3022637506,36047053100,Bedford Stuyvesant,City Council District 33,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,1787852,UNAVAILABLE OWNER,14,2006,1,,,461 Flushing Avenue,Information unavailable,,,,,,In 2020s Floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9543825,3022637507,36047053100,Bedford Stuyvesant,City Council District 33,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,3611104,UNAVAILABLE OWNER,46,1931,2,,,200 Wallabout Street,Information unavailable,,,,,,In 2020s Floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9543826,3022637508,36047053100,Bedford Stuyvesant,City Council District 33,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,6689012,UNAVAILABLE OWNER,44,2010,2,,,515 Flushing Avenue,Information unavailable,,,,,,In 2020s Floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9503229,3022637510,36047053100,Bedford Stuyvesant,City Council District 33,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,1,497701,UNAVAILABLE OWNER,6,2013,1,,,527 Flushing Avenue,Information unavailable,,,,,,In 2020s Floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9503230,3022637511,36047053100,Bedford Stuyvesant,City Council District 33,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,946352,UNAVAILABLE OWNER,6,2015,1,,,535 Flushing Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9543847,3022647516,36047053100,Bedford Stuyvesant,City Council District 33,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,1,2455366,UNAVAILABLE OWNER,23,2007,1,,,446 Marcy Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9503243,3022647519,36047053100,Bedford Stuyvesant,City Council District 33,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,1623747,UNAVAILABLE OWNER,10,2014,1,,,242 Wallabout Street,Information unavailable,,,,,,In 2020s Floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9543852,3022660017,36047050700,Bedford Stuyvesant,City Council District 33,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,837900,382 WALLABOUT LLC,6,2014,1,,,382 Wallabout Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9554779,3022667513,36047050700,Bedford Stuyvesant,City Council District 33,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,1996866,UNAVAILABLE OWNER,18,2014,3,,,376 Wallabout Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9543876,3022677501,36047050700,Bedford Stuyvesant,City Council District 33,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,1,3606925,UNAVAILABLE OWNER,25,1999,3,,,133 Gerry Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9543917,3022677502,36047050700,Bedford Stuyvesant,City Council District 33,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,980558,UNAVAILABLE OWNER,15,2002,1,,,59 Throop Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9543918,3022677503,36047050700,Bedford Stuyvesant,City Council District 33,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,2136150,UNAVAILABLE OWNER,26,2000,2,,,49 Throop Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9543928,3022700012,36047050700,Bedford Stuyvesant,City Council District 33,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,1,1484100,M & G HOUSING CORP,14,2007,1,23,10.4,646 Broadway,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9543931,3022727502,36047050700,Bedford Stuyvesant,City Council District 33,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,,,1638452,BARTLETT ESTATES LLC,10,2014,1,,,16 Bartlett Street,Breakdown available,0,0,2,0,0,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9554071,3022730001,36047050700,Bedford Stuyvesant,City Council District 33,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,633600,76 BARTLETT ST REALTY INC.,7,2018,1,,,76 Bartlett Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9543274,3022890014,36047055700,Williamsburg/Greenpoint,City Council District 33,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,13158450,34 BERRY STREET LLC,142,2008,1,,,34 Berry Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9503362,3022897501,36047055700,Williamsburg/Greenpoint,City Council District 33,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,5680800,UNAVAILABLE OWNER,42,1919,3,,,44 Berry Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9543290,3022907502,36047051700,Williamsburg/Greenpoint,City Council District 33,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,5783759,UNAVAILABLE OWNER,57,2011,2,,,162 North 12 Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9543291,3022910001,36047051700,Williamsburg/Greenpoint,City Council District 33,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,1,50016150,95 BEDFORD LLC,351,2013,1,,,101 Bedford Avenue,Information unavailable,,,,,,In 2020s Floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9543292,3022910017,36047051700,Williamsburg/Greenpoint,City Council District 33,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,7905600,210 N 12TH ST LLC,42,2013,1,,,210 North 12 Street,Information unavailable,,,,,,In 2020s Floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9543331,3022977502,36047051700,Williamsburg/Greenpoint,City Council District 33,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,9392608,UNAVAILABLE OWNER,85,2007,2,,,125 North 10 Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9543388,3022987502,36047051700,Williamsburg/Greenpoint,City Council District 33,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,1058397,UNAVAILABLE OWNER,13,2007,1,,,165 North 10 Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
