building_address,building_lat,building_lng,intersection_id,intersection_lat,intersection_lng,shortest_distance_meters
540 Fulton Street,40.688788,-73.98152,42464844,40.6897015,-73.9829511,292.552
540 Fulton Street,40.688788,-73.98152,42464847,40.689358,-73.982098,367.90200000000004
540 Fulton Street,40.688788,-73.98152,42464848,40.6889411,-73.9810499,0.0
540 Fulton Street,40.688788,-73.98152,42466438,40.6887841,-73.9835721,335.468
540 Fulton Street,40.688788,-73.98152,42469226,40.6932563,-73.9881544,1109.1
540 Fulton Street,40.688788,-73.98152,42469228,40.6922794,-73.9881997,1000.4069999999999
540 Fulton Street,40.688788,-73.98152,42480566,40.693036,-73.984292,1155.3569999999997
540 Fulton Street,40.688788,-73.98152,42480569,40.6930502,-73.9852301,1076.2489999999998
540 Fulton Street,40.688788,-73.98152,42480571,40.693088,-73.986226,992.1769999999999
540 Fulton Street,40.688788,-73.98152,42481889,40.6949665,-73.987162,1110.694
540 Fulton Street,40.688788,-73.98152,42491554,40.6959659,-73.9845903,1444.289
540 Fulton Street,40.688788,-73.98152,42491582,40.6911662,-73.9821756,516.347
540 Fulton Street,40.688788,-73.98152,42491585,40.6899297,-73.9815542,156.63899999999998
540 Fulton Street,40.688788,-73.98152,42491589,40.688761,-73.980843,26.558999999999997
540 Fulton Street,40.688788,-73.98152,42492210,40.6904673,-73.9878775,743.886
540 Fulton Street,40.688788,-73.98152,42492213,40.6898629,-73.9882859,819.4
540 Fulton Street,40.688788,-73.98152,42494919,40.6922042,-73.9862727,718.652
540 Fulton Street,40.688788,-73.98152,42494920,40.6921587,-73.9852776,634.602
540 Fulton Street,40.688788,-73.98152,42494921,40.6921272,-73.9843423,555.668
540 Fulton Street,40.688788,-73.98152,42494924,40.6920899,-73.9833969,475.852
540 Fulton Street,40.688788,-73.98152,42496432,40.691039,-73.9894028,887.5799999999999
540 Fulton Street,40.688788,-73.98152,42497737,40.6960551,-73.9871076,1231.829
540 Fulton Street,40.688788,-73.98152,42502404,40.689222,-73.9846917,441.68600000000004
540 Fulton Street,40.688788,-73.98152,42510861,40.6901632,-73.9870995,670.087
540 Fulton Street,40.688788,-73.98152,42515825,40.6903899,-73.9898327,968.4129999999999
540 Fulton Street,40.688788,-73.98152,42523094,40.6890086,-73.9861587,619.145
540 Fulton Street,40.688788,-73.98152,42523684,40.6896291,-73.985733,540.466
540 Fulton Street,40.688788,-73.98152,42523688,40.688451,-73.9827164,254.36700000000002
540 Fulton Street,40.688788,-73.98152,42523691,40.6879371,-73.9813995,129.49
540 Fulton Street,40.688788,-73.98152,42523903,40.6905587,-73.9826854,596.414
540 Fulton Street,40.688788,-73.98152,278630368,40.692096,-73.9889495,997.726
540 Fulton Street,40.688788,-73.98152,278630910,40.6909958,-73.9892384,872.91
540 Fulton Street,40.688788,-73.98152,278631323,40.6903367,-73.9896591,984.1999999999999
540 Fulton Street,40.688788,-73.98152,278632281,40.6925287,-73.9888795,1046.298
540 Fulton Street,40.688788,-73.98152,278632502,40.6950187,-73.9886923,1323.8829999999998
540 Fulton Street,40.688788,-73.98152,278632503,40.6961134,-73.988653,1445.693
