X,Y
982907,201174
989448,225972
990674,200937
988731,223912
999255,244474
986819,217407
989608,202505
992027,224465
991367,224754
990128,226826
1001239,239178
995571,219821
988592,208230
998317,228791
991959,224488
998317,228791
988909,207759
985304,209941
1006180,253933
986831,209297
1006180,253933
1006180,253933
1006180,253933
1006180,253933
1006180,253933
1006180,253933
992972,230703
1001888,245744
1006180,253933
1006258,253900
988884,207851
996500,233633
1006180,253933
983006,204972
1006180,253933
1006203,253888
1006180,253933
1006180,253933
1006180,253933
1006180,253933
1006180,253933
1006180,253933
994747,215423
987139,199013
1006180,253933
985323,210128
998525,226668
990944,212117
1006180,253933
998609,221205
997221,221970
996921,231055
991959,224488
1006180,253933
1006180,253933
986556,201445
1006180,253933
1006180,253933
1006180,253933
1006258,253900
1006180,253933
994665,230709
1006180,253933
1006180,253933
1006180,253933
1006180,253933
1006180,253933
989212,211896
1006258,253900
1006258,253900
993740,231227
1006180,253933
1006180,253933
1006180,253933
1006258,253900
1002321,236854
